#,collection,volume,volume change,floor price,price change,owners,items
70,RENGA,4.22 ETH,-25.11%,0.2 ETH,+4.27%,2937,8774
71,BasedHeads,0.47 ETH,+77.32%,0.03 ETH,-1.59%,--,10000
72,UBA Crypto Traders,0.16 BNB,+156.62%,< 0.01 BNB,-6.25%,2035,15500
73,Rug Radio - Genesis NFT,2.75 ETH,-67.90%,0.15 ETH,-4.81%,2100,--
74,ForeverCR7: The GOAT Box,0.18 BNB,+163.04%,0.01 BNB,-0.81%,7481,28000
75,Astroboy x Japan by XANA,0.3 BNB,+0.00%,0.01 BNB,+100.69%,6962,24100
76,KartParty-YKZ,41.84 ETH,+2.74%,2.49 ETH,-0.01%,264,700
77,The Captainz,81.21 ETH,+27.55%,4.76 ETH,+6.04%,3988,9999
78,XTREME PIXELS,0.13 ETH,-23.79%,< 0.01 ETH,+149.64%,5941,25000
79,Return of Legnds S1,0.51 BNB,+0.00%,0.05 BNB,+0.00%,1726,12000
80,PROMPTZ,0.03 ETH,+0.00%,< 0.01 ETH,+0.00%,2181,20304
81,Ninja Squad Official,3.54 ETH,+695.93%,0.12 ETH,+7.07%,2,8888
82,ALTS by adidas,1.7 ETH,-10.60%,0.1 ETH,+3.16%,8680,20066
83,0xApes Trilogy,0.52 ETH,+107.00%,< 0.01 ETH,--,--,10055
84,Llamaverse Genesis,3.15 ETH,+170.92%,0.21 ETH,+19.82%,--,4000
85,Ether Avatar,2.51 ETH,+13.53%,0.16 ETH,+3.14%,1049,585
86,The Seekers,0.6 ETH,-73.17%,0.04 ETH,-0.01%,2,47895
87,Everai Heroes: Duo,1.76 ETH,+62.22%,< 0.01 ETH,--,--,7777
88,Mavia Land NFTs,16.13 ETH,-74.07%,0.8 ETH,-0.01%,118,--
89,Doodles,29.07 ETH,-43.31%,1.81 ETH,-3.73%,5529,10000
90,Binary: DEX,0.89 ETH,-76.38%,0.07 ETH,-1.97%,1,7070
91,0xTama,0.14 ETH,+25.30%,0.02 ETH,+133.10%,3973,6000
92,Pixelady Maker,0.8 ETH,+124.39%,0.06 ETH,-0.33%,1835,10000
93,DigiDaigaku Dragon Eggs,0.79 ETH,+208.61%,0.06 ETH,+9.99%,2,4955
94,Pixl Pets - Genesis Collection,1.25 ETH,+11.36%,< 0.01 ETH,--,--,15000
95,Kubz,6.11 ETH,-2.11%,0.39 ETH,+2.62%,1852,10000
96,Cult,0.65 ETH,+179.47%,0.05 ETH,-1.13%,604,1377
97,Kandyland,0.46 ETH,-32.47%,0.03 ETH,-0.02%,2132,7777
98,Akumu Dragonz,0.28 ETH,+0.00%,< 0.01 ETH,--,--,10000
99,Impostors Genesis Aliens,9.05 ETH,+73.35%,< 0.01 ETH,--,1206,10420
100,Mocaverse,45.46 ETH,+66.33%,3.69 ETH,-2.38%,2103,8888
