#,collection,volume,volume change,floor price,price change,owners,items
70,ALTS by adidas,2.01 ETH,-32.84%,0.1 ETH,-1.11%,8710,20066
71,Alpine Esports Series 2023,0.06 BNB,+25.18%,< 0.01 BNB,-6.67%,18369,48000
72,OCM Karma,5.5 ETH,+90.82%,0.17 ETH,+11.55%,409,12700
73,Parallel Avatars,17.86 ETH,-30.87%,0.92 ETH,+2.64%,2154,11001
74,Sakura Park,0.81 ETH,+0.00%,0.06 ETH,+33.95%,604,2669
75,Pepe Open Editions by Matt Furie,0.13 ETH,-84.97%,< 0.01 ETH,+0.00%,9,53755
76,Genuine Undead,2.65 ETH,+9.42%,0.08 ETH,+2.37%,2860,9999
77,Merry Cryptmas Mystery Box,0.13 BNB,+608.67%,< 0.01 BNB,+2.58%,18215,50000
78,mcgoblin.wtf,0.49 ETH,+0.00%,< 0.01 ETH,--,--,3498
79,XTREME PIXELS,0.04 ETH,-15.17%,< 0.01 ETH,-11.50%,5933,25000
80,Valhalla,2.51 ETH,+142.54%,0.15 ETH,+3.98%,2500,9000
81,0N1 Force,18.11 ETH,+20.75%,1.03 ETH,-2.51%,3623,7777
82,Chimpers,8.16 ETH,+24.96%,0.47 ETH,-4.41%,--,5555
83,rektguy,8.01 ETH,-6.88%,0.51 ETH,-3.37%,3428,8813
84,CryptoBirbs by Vodnik,0.25 ETH,+0.00%,0.02 ETH,+116.08%,--,2000
85,Nina's Super Cool World,3.39 ETH,+403.68%,< 0.01 ETH,--,--,5080
86,Space Riders NFT,1.4 ETH,+117.85%,0.07 ETH,-4.02%,3166,8888
87,My Pet Hooligan,16.32 ETH,-45.81%,1.01 ETH,+0.98%,3784,8888
88,HELIX - PARALLEL CITY LAND,1.68 ETH,+275.55%,0.04 ETH,+24.84%,--,14705
89,Murakami.Flowers Official,6.78 ETH,+161.79%,0.4 ETH,-0.63%,5475,10139
90,Fusionist - Bi·Mech,67.16 BNB,+326.96%,2.85 BNB,+6.28%,150,1946
91,Otherside Koda,65.22 ETH,+64.48%,3.5 ETH,-0.13%,2776,6464
92,Delabs Adventure Pass Official,2.05 ETH,+111.32%,0.13 ETH,-3.47%,262,3433
93,Angry Apes Society,0.18 ETH,+257.74%,0.01 ETH,+20.24%,36,9999
94,TOPIA Worlds,76.53 ETH,+2.46%,3.9 ETH,+8.80%,1501,10000
95,Mocaverse,41.49 ETH,-75.51%,3.1 ETH,-3.40%,2103,8888
96,Genesis Box,0.3 ETH,+77.22%,0.03 ETH,-0.86%,3,16546
97,SchizoPosters,1.78 ETH,-41.80%,0.15 ETH,-0.13%,1430,5555
98,DigiDaigaku Masked Villains,0.42 ETH,+604.41%,0.03 ETH,-0.41%,--,--
99,Base Introduced,0.02 ETH,+185.78%,< 0.01 ETH,+16.49%,53,485086
100,San FranTokyo Genesis Pass,5.9 ETH,-16.04%,0.49 ETH,-0.13%,550,2000
